,text,labels
19,عم يدوروا عالبوكيمون😂 https://t.co/uwQRQ9iH5r,Entertainment
20,@najwakaramأحلى حدن حط فلتر الورد 😢🌸#نجوى_كرم ✨ https://t.co/zzGH1Qf05G,None
21,@SAlqousy وفي مطبخنا 😂😁والله العظيم هلق عم نقليه 😂وانا قلبي عم ينقلا معو 😭😭,Religion
22,@najwakaram عمري المنسجم وعم يهزّ 😂😂❤ #نجوى_كرم,Entertainment
23,@NajwaKaram يوووه شو هالحكيييي بعيد الشر 😳😭,None
24,تالت يوم 🤓,None
25,@NoorThings لا أعلم بصراحة المعلومة اقتباس من نعي الشهيد قد يكونا ضمن نفس القوة,Russia
26,@EngHajjie بيخلصوا مافي شي ما بيخلص,None
27,وَلَمِن خَافَ مَقام رَبِّه جَنّتان🌸,None
28,@Ahmadmuaffaq @Arabi21News عليك بأخر تسريب لويكليكس يا كاذب,None
29,@ahmad_kaka9 أمر طبيعي ورح يضل يعطل ويتصلح متل أي جهاز يتم استهلاكه #بس_دراما,None
30,احد الهكرز صرح بكلام بانه اصدار10.1.1رح ينزل له جلبريك بواسطة ثغرة اكتشفت ب ملفات التعريف… https://t.co/0ioA59vvii,None
31,لا إله إلا الله وحده لا شريك له .. له الملك وله الحمد وهو على كل شيءٍ قدير 💛❤️,Entertainment
32,@najwakaram يما يما مَحلا وجودك بهالدّني هالشّي لوحدو بيسعد القلب 😭😭❤,None
33,بحبكن يا منحوسين 😢💔 https://t.co/FOF1pIGjTM,None
34,كل عيد اصعب من يلي قبلو,None
35,@ghanuge_nk @AnooshNK يس يس 😍❤ ومن حلب هيداك اذا ما إلك خببر,None
36,وات ايڤر الي فيني اعملو عملتو🤓👋🏻,None
37,@LeeeenNehme @Salma_Mar19 دحيل قلبك انتي وسلمى 😍❤😘😘,None
38,يا سنين اللي رحتي ارجعيليو ردّيلي ضحكات اللي راحوا.. 🍂,None
39,عشر اصهرة ع باب داري ولا كنة تكشف اسراري #ع_قولة_ستي,None
40,@aswadhaya @basselmehrez @sy_qamir حتى إشعار اخر,None
41,الوجه الآخر للاحترام هو الحذاء,None
42,@saadlamjarred1 صباح الخير سعد مع هالصورة الجميلة 💛😃🌷 واقتربت غلطانة من المليون العاشر 🙏🏻💃🏻 #غلطانة https://t.co/xQSQzB0JBC,None
43,ال MTVبتكبر فيك و بإدارتها و كادرها و طاقم العمل كلو انتو الاقوى و الأنجح و الأكبر 👍... و #هيدا_حكي @adelkaram9,Entertainment
44,😍✌بدك تولعا ✌❤ https://t.co/xhoLajPacU,None
45,يا صباح الانتصارات ❤✌ https://t.co/InOx2hyWTi,None
46,من ذكريات #القلمون_الشرقي #syria #damascus #homs #latakia #lebanon #birute #l4l #life… https://t.co/58hFXtgF38,None
47,@_Amaaar 😂😂😂دخيل عينك سأليلي من هلأ لأنو المكتوب مبين من عنوانو💔,None
48,في الحياة مافيش ضمان، أو احتمال لشيئ أكيد,None
49,"@najwakaram هيك استقبال ما بيلبق لمين ما كان..#نجوى_كرم شموخ وهيبة وعنفوان.. بإختصار ""ملكة"" وبيلبقلِك 👑💚 https://t.co/HXTEltG41e",None
50,@najwakaram يمااااا لو تعرفي شو منحبك 😭😭❤,None
51,العالم لا يهتم بما يكفي لكي يرد على سؤالك الغاضب : لماذا أنا !لكن إن اهتم ستكون الإجابة : ولم لا !| كريستوفر هيتشنز |,None
52,@HayaMasarji كل ما عم بقرا هل حكي عم بفرط ضحك 😂😅😂😂قال بوتكس 😂😅😅لك لسا صغيرة وما بحب هل قصص و ما عنا هيك شي 😂شو بيخطر للناس 😂😂😂😂😂😂😂,None
53,@najwakaram 👀 لَو شي مَرّة صبحيّة تفَكر تتصل فيّي قلّي شو يُلّي بِعَلّقني بَسْ فيك ، عِنْدي ثِقة فيك وبِكَفي! 🙈🌸💕,None
54,يقع مكتب عنبر شرقي #الجامع_الأموي في #دمشقولقد بناه ثري يهودي دمشقي إسمه يوسف عنبر عام 1872#دمشقيات #صورة_سورية https://t.co/4y2Nj4ukJ4,None
55,رومانسي *-* #SOOMPIAWARDS #TeamBTS https://t.co/qojKOKmbhP,Entertainment
56,القلوب مزارع فازرع فيها الكلمة الطيبة فإن لم تتمتع بثمرها تتمتع بخضرها #لقمان_الحكيم #صباحيات… https://t.co/T4qnyymCLv,None
57,@najwakaram شو هالوقفة وشو هالهيبةولك شو هالنجوى 😍👑✨ https://t.co/sg1vKNHDrW,None
58,قومي صلي العشا 5:55 @But_Not_Me,None
59,@HaifaaAlhaj ميلاد مجيد هيفا 🙏ينعاد عليكِ و على أهلك بالخير و الصحة و البركة ياربّ 💝,None
60,هادا ما طقس، ماني جايب تياب خرج هيك 💔,None
61,ما بيعرفو غير اسمك وبيحكو عليك ضل أبقر؟,None
62,@9998Yousef والله شكلك جايه ع بالك تكون منهم مثلا 😁😁😒😒😅😅,None
63,عملت وصلة ليوصل شاحن الموبيل لتختي 😂😂😅 https://t.co/38DGyhnSyG,None
64,والله حاسة آخر شي ابو عامر بدو يموت موتة شنيعة من ورا هالشرنة فوزية#عطر_الشام 2 #رشيد_عساف #امارات_رزق,Religion
65,ما هي رموزك المفضلة؟ .. اليوم العالمي للرموز التعبيرية #إيموجي #WorldEmojiDay,None
66,@najwakaram و ما نخليييهااا تفلّ#NajwaKaramInMawazine2017 https://t.co/kGlLH7tqy7,None
67,#NowPlaying “Ma Endoun Khabar” by @iMarwanKhoury on #Anghami 🌃ما عندُن خَبَر ~ شو بحبّون يا قَلبي و عَبالون خَطر!🙇https://t.co/87LYuLv5BD,Entertainment
68,خدني معك على درب بعيدة..مطرح ما كنّا ولاد زغار 🎶,None
69,نسّيني حاليوكل ما تعبوا عيوني وغفيوا إنت تفيّقنيطفّي نجوم اللّيل واحرقني..#نجوى_كرم #منّي_إلك ✨@NajwaKaramhttps://t.co/GHM8oiHoIs,None
70,@najwakaram 💙لا تخلّينا مشرّديين 🙈 حكينا شوي 🙊,None
71,لدي سوء تفاهم عميق مع السعادة,None
72,@judy1300131 بيتدلل بعدين بيتمرد 😀😀ومساكي اسعد جوجو 😍😊,None
73,#هام || لا صحة للمعلومات التي تتداولها قوات الأسد و صفحاته الإعلامية عن سيطرتهم على منطقة #عقرب أو حي #الراشدين غربي #حلب .,Anti-Regime
74,@huda1992k حسابه محمي,None
75,@MarwaElMarouk أوقات بقول يا ريت لو بيجي حدا بياخد الموبايل من ايدي وبيلزقلي الكتاب بخلقتي.. 🤦🏻‍♀️,None
76,@NK_Fans @najwakaram يتْراءى لي وَجه الحَبيب..مَرّة بِعيد و مَرّة قَريب! و النّار اللّي بقَلبي لَهيب..و يا ويلي… https://t.co/VB40Erk0pW,Entertainment
77,شو طابخين 😂😅🙊 https://t.co/JShIdCiFpA,None
78,@YassmenT @MarwaElMarouk @ImanoSeb @AsmaAsmache @najwakaram وَعد العَاشِق دين و عُمرو ما يحط شروط! 🌹… https://t.co/Hg8QuV3SYH,Entertainment
79,"مزمجر الشام, @saleelalmajd1 الآن نشط في Syria https://t.co/k5pEyVyZd3",None
80,"الخنزير الرافضي ""أبو عزرائيل"" يقول قتالنا في #حلب قتال عقائدي ضد ""نواصب العصر""حذاء أصغر حلبي أشرف منك ومن عقيدتكhttps://t.co/JfrH1ndYFZ",AleppoExtremist_Group
81,@najwakaram صَباح المَطَر و الجَوّ الحلو🌁🌧,Entertainment
82,هل من استفتاء هل من سؤال يبحث عن إجابة؟,None
83,#بلدي_احلى_حكاية #في_عشق_الوطن الجيش العربي السوري ..قصة وطن صامد عشق الوطن تضحياتهم وبطولاتهم #سوريا #حلب https://t.co/BTV1TbP2wk,Pro-RegimeMilitary_SecurityEntertainment
84,أنا https://t.co/GIhj8RVpTi,None
85,بكره الضيوف اللي بيجو فجأة بكرررره 😭😭,None
86,#عاجل || الجيش التركي يعلن مقتل أحد جنوده برصاص من منطقة يسيطر عليها الأكراد في #سوريا .,Military_Security
87,@OChakhs ياكلو هوا ليش مين كشف ثغرات 10.2 لشركة آبل حتى يتوقف الجيلبريك غير فريق بانغو ...,None
88,@najwakaram ما بَعرِف إلّا اشتَقلِك!❣💆🙈#نجوى_كرم https://t.co/byRImT5ygk,Entertainment
89,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,None
90,@AbbassJaafar1 حالي,None
91,@najwakaram حُبّي 💗👀,Entertainment
92,سوريا من بعدك مافي وطن ❤✌❤#وحدوا_هاشتاغ_سورية https://t.co/tblDG626ix,None
93,@mejolamjarred1 @saadlamjarred1 الف الحمد لله عسلامة 😃💛 انشالله بكرا يكسر المسرح سعد 💛🙏🏻❤️,None
94,بالمناسبة في منطقة بالكويت اسمها حولي 😅 https://t.co/C258zsoNF5,None
95,@AnooshNK @najwakaram الله يحميّا و يحرسا 🙏❤,EntertainmentReligion
96,#عاجل || طيران #الإحتلال_الروسي يشن غارة جوية على بلدة #أورم_الكبرى في ريف #حلب الغربي#ملحمة_حلب_الكبرى https://t.co/TixQohLPud,None
97,من تفضل أن ترى رئيساً لأمريكا #USElections2016 #USA2016 #SyriaVote,None
98,"@Layal_NK @najwakaram هلَكتك بَعرف 👀بس أنو عَم تتغَزَّلي ب الست نجوى و ب كلمات الكبير "" نزار قبّاني ""Sօ ما تتوَقَعي عَدَم ردّي🙈",Entertainment
99,@TaHeR_OtHmAnn @mohammedanasrj مشي الحال,None
100,على حدود #دوما تماما 😀 هنا #الغوطة_الشرقية بريف #دمشق #syria #damascus #day #birute #lebanon… https://t.co/fHBvfAnu0e,None
101,@JustLlady 😡😡😡 لعما لو تشوفي كيف عم ينكب كب هالمطر بتقولي مسطمة الغيمة 😂,None
102,طجرت مني الحيطان و مستحية تقول ...💔🎶,None
103,اللهُمّ آمين 🙏🍃 https://t.co/a0hwzOnvIs,None
104,#مواليد_اليوم1938 - فاروق الشرع، سياسي سوري,None
105,@tsol99kurdian الفيزيا مش كتير بس الرياضيات بدو. شغل,None
106,الآن مباشر من #المدينة_اف_ام الفنان #بشار_اسماعيل في برنامج #المختار في حوار ناري يكشف فيه المستور @basselmehrez https://t.co/4xXWDJe7qW,Entertainment
107,@mohammedsyrian هنن ما بيعرفو لسا,None
108,@shahedat97 @RudyDandashi منلي متلكن انا حبيباتي ، معلش محسوبين ع بعص نحنا 😌,None
109,حدث في مثل هذا اليوم بمتل هالوقت ومن سنة انقطاع النت بشكل كامل عن سورياوحدوث حالات جنون وفقدان للأعصاب في صفوف الفانز النجواني السوري 😩😭😂,Military_Security
110,والله متلبكة بهالكهربا أنا 😂🙊 https://t.co/WrXhWSELNc,Religion
111,@najwakaram #مستني_ايه .. ما تستنّاش !#نجوى_كرم #JudgeNajwa #AGT5 🤗 https://t.co/YPNJ4WSoc7,Entertainment
112,مافي أَحلى من غَمرة طفل صغير و غَفوة! 👼❣,None
113,"@Aboud7p7 فيك تكتب رأيك بالمعرض عندك وتعفيني من هل ""الكلام"" ؟",None
114,@MaherHajAsad لا ليش 😳,None
115,@najwakaram أقوال نجوى كرم في كلّ مكان 😍😂😂😭😂,Entertainment
116,@alaasaiid81 تمام… إنت شلون?,None
117,#استمع الى ”مجبور من مسلسل الهيبة [حصريا]“ من @NassifZeytoun على #أنغامي https://t.co/ZK2hdPWK6Z ابداعك احساسك صوتك عشق 👌💓💓💓💓 #مجبور,Entertainment
118,#سوريا أكبر من أن تبلع أصغر من أن تقسم,None
119,@najwakaram اجا الحب 😍😍,Entertainment
120,قصي من لسانك وزيدي ع التنورة منو بتدفي سيقانك ومنو بتضلي مستورة #ع_قولة_ستي,None
121,@poppens_14_ الله يتقبل 😊,None
122,#شيء الآن نشط في Syria https://t.co/k5pEyVyZd3,None
123,@JalalAzzawi عنا بالشام,None
124,ابشع الشي بالشتوية البيت الكبير😞ما بيدفا😭😭😭😭😭,None
125,عمتي بسويد بعتتلي فيديو لزينة العيد عندن صرت ابكي تذكرت كيف كانت الزينة عنا بالعزيزية وغير مناطق 💔😭💔,None
126,@Samira_Hn 😂😂😂بالهنا 😂انبسطي و صرعي اهلك 😂😂😁💔,None
127,لا شيئ يدل على انه صباح الخير 👊🏼,None
128,لازم نجيب دفتر نسجل فيه كلام نجوى ونحفظو حاجي كل ماحدا قلنا شي حلو منحطلو قرد 🤦🏻‍♀️,Religion
129,#عاجل : #الهلال_الأحمر_العربي_السوري يدخل 10000 ربطة #خبز إلى حي #برزة ليتم توزيعها على الأهالي https://t.co/UeRFYcJMFl,None
130,اجري بالنومة والفيقة وبالشتي وبالصيف وبكلشيوما بونجور 😪😪,None
131,أكتر غنية بحبا الو 😭 https://t.co/geElfIbYQx,None
132,جديدة هَي.. ما حدا يسرقا 🔥 https://t.co/ST2pfir6Bt,None
133,@najwakaram سلامة قلّوبِك يا حُبّي 😘❤,Entertainment
134,@najwakaram أنا لَكتُب كرمالَك عُمري.. عَلى حَدّ السّيف.. 🕊💚https://t.co/ZR1fSQ6WGG#مني_إلك #نجوى_كرم,Entertainment
135,@RadioSouriaLi ولا شي كما يبدو حسابكم عّم يصفر 😅,Entertainment
136,بشكُر الله في هالنجوى لضلّ حبّ هالحياة 😑 https://t.co/3KYeaGKIcM,Religion
137,@batoul_sharbek لا خطأ فيها,None
138,@mheealden88 @Najdfeedami الحقيقة حلب وسورية تتحرر من الارهابكفى تحريض وكذب,AleppoExtremist_Group
139,الأديبة والفنانة التشكيلية السورية مها بيرقدار زوجة الشاعر اللبناني الراحل يوسف الخال والدة الفنانين يوسف وورد الخا… https://t.co/MjARY7yacu,None
140,ميسي 😂😂😂😂😂😂😂😂😂😂,None
141,@najwakaram عَم بسَمّولي أسامي و أنتَ من بَين الأسامي..💖#نجوى_كرم #حبيبي_مين 🌸#NKMusicDay #HabibiMin 💜https://t.co/ndhCSuPtrR,None
142,@najwakaram عمري محلاكي كيف بتفرّحي قلوبنا عمريييي 😭😭😭❤❤,Entertainment
143,يارب في يوم الجمعة .. اسعد قلبه واشرح صدره وافتح له ابواب الخير والراحة 💛❤️ @saadlamjarred1 #SaadLamjarred https://t.co/1ssm9SqK3n,Religion
144,@najwakaram يتْراءى لي وَجه الحَبيب..مَرّة بِعيد و مَرّة قَريب! ✨💙#نزلت_البحر #NezeltLBa7r #نجوى_كرم https://t.co/NgW8R1C487,Entertainment
145,@mhabach @SarahShahid_ سيران لوين,None
146,@ALOSHEYOUSSEF @waelkfoury 😍اكيد😍 انت انسان عنصري😂😁تسلملي,None
147,كل عام وانتم بخير بمناسبة حلول عيد الأضحى المبارك https://t.co/1Z8KUwzZNq,None
148,بتكتب #اسم #حبيبها على أيدها 😍ولما يجي ابوها #بتمسحه ببزقة💦🌚#روعة 😁✌🏻,None
149,@Samira_Hn سموور فهمت عليكي كل شي لا داعي للتوضيح 😁✋😅حالتي من حالتك 😂✋😅غلطة وندمان عليها😂,None
150,اليوم كان سيئ عموماًعكس مبارح ١٨٠ درجة,None
151,@kholudbd 😅لا أنا بَعد شوي بغفى فَجأة 🙈,None
152,ياربّ ارجع ركّز بالدّرس 💔,None
153,في غلطة بتخسّرنا ناس وإيّام بتربّحنا غيرُن.. https://t.co/K60MURzPQ6,None
154,#قف الآن نشط في Syria https://t.co/kK9eCRF9ga,None
155,#ساعة_مع_الكفوري لما عني تروح وتنساني بسهر مع نجمات الليالي قلبي ما بيرتاح ولو ثواني انت الي هواك شاغل بالي @waelkfoury #ليلة_ليلة ❤🎵🎶,None
156,#عاجل || 3 غارات جوية رورسية على مدينة #دارة_عزة في ريف #حلب الغربي .,Military_SecurityAleppo
157,@Saadlamjarred1 @NancyAjram يسلملي سعد💛💛💛,None
158,قايمة اعمل متة احسن شي,None
159,"@FreeBrain_ @maytham956 البنت صار عمرها 4 شهور والقاضي ما اعترف على كتاب الشيخ البراني حتى لذا نزل العريس ونطقها ""اسلم"" ادامه",None
160,عـندما يـقول #الأســد 😍😍😍 سـَ أزور #حــلــب 😍😍😍يـقـوم #الــنـمـر 😍😍😍 بِـ مـراسم الأسـتـقبـال 😍😍😍#وانتصرت_حلب,None
161,متل هل ايام من ست سنين بدي مشروع خرااب البلد 💔😢و بدو فيه شوية جاهلين على اساس عم ينادوا بالحرية بس كانوا عم ينادوا بخراب البلد 💔,Pro-Regime
162,@nour200120 تعلمت كثير من الهجة وحتى عرفت المغرب اكثر من بعد المعلم 👌🏻💛 @saadlamjarred1,None
163,وكَيفْ لا أُحبهم وهِم مَنْ يزرعْ الفَرح فِي مُنتصَف وريِدي💖#وائل_كفوري #عادل_كرم 💖❤❤😘@adelkaram9 @waelkfoury https://t.co/XpLPpkJlbO,None
164,الاشخاص اللي بشتغلوا بكل حب وبعملوا كل اللي عندهم مشان يطلع كليب يفوق كل التوقعات @saadlamjarred1 #ghaltana #غلطانة https://t.co/sCk0tSnKwh,None
165,#حلب#جيش_الفتح يعلن استهداف مواقع قوات الأسد وسط مباني #منيان غربي مدينة حلب بعربة مسيرة عن بعد .… https://t.co/NpoRdT9CDN,None
166,"حفل لحسام جنيد الجمعة 27/1/2017 بأوتيل ""شهباء #حلب"" #فعاليات https://t.co/1tVUCTOWqh",None
167,#الوطن_بجملةالوطن ..هو الجيش السوري ومن غيره ❤✌✌✊ https://t.co/l6K3JLxWZG,Pro-RegimeMilitary_Security
168,"الطفل ""عبدو"" الذي ظهر في الفيديو مبتور القدمين في بلدة #الهبيط لازال على قيد الحياة ولكن أشيع خبر وفاته.الحمد لله… https://t.co/HdRuJytnyR",None
169,يا الله اجبر قلوبنا يا رب,Religion
170,@najwakaram كامل الاوصاف فتني 💕💕 https://t.co/3kCHLasPAG,Entertainment
171,@super_account @sophiadib28 منحبن كلن دخيل ربن 😍😍😍😍انتا شو قااهرك,None
172,مُقاومة مووود 💛,None
173,شوَي خَلّينا.. خطَي خَلّينا! 🙇😔,None
174,@ssss72677316 اي يمكن هي معمل الويس هيدا يلي جنبو في روايح بشعة ؟! 😅هو كان رح يصير منتجع كتير كبير,None
175,"#أغبى_النساء ..هي من تترك تعليمها.. عملها.. بإرادتها!! وتلتحق ""بظل رجل"" ليتركها في الخمسين من عمرها ليطبّق الشرع!… https://t.co/LYafA49Ksm",None
176,@NajwaKaram حبيبة روحي 😢❤#JudgeNajwa #نجوى_كرم #ArabsGotTalent https://t.co/mB9eSloAY1,None
177,@najwakaram وجودِك حَياة 🙏❤,Entertainment
178,@saadlamjarred1 واخيرا ً اليوم الخميس صباح الخير سعد ما تطول علينا 🙏🏻🙏🏻🙏🏻😃😃😃 بانتظار #غلطانة 😍,None
179,ع=3 😂😂😂 https://t.co/DFsq22jF8F,None
180,نعسان لا تكلمني https://t.co/G5hFVb6f4Y,None
181,@najwakaram بحبّك حتّى نجوم الليل نجمة ونجمة توقع 💜✨,Entertainment
182,#ريف_حلب_الغربيطيران #الإحتلال_الروسي يستهدف بغارتين جويتين بالقنابل العنقودية منطقة #الراشدين الجنوبية,Military_SecurityRussia
183,@barbie_aimy @mohannadsharqa1 ما تناديني مش رح اسمع ...❤🎶,None
184,@saadlamjarred1 الله يحفظك سعد الغالي 💛🤗 #غلطانة https://t.co/VOGNm0ZgJS,Religion
185,واذا ماعم تلاقي ذكريات حلوة فينك تلاقي حدا غير .. حدا تخط معو ذكريات جديدة بنفس الشوراع والحارات ..,None
186,@Jelilaty @e19reem وتصيب ساكنيها بالكأبة حقيقة علمية,None
187,قلبي سوري و دقاتو حلبية ❤😍,None
188,نحن الي عايشين الواقع وعم ندوق غبائكن انتو قاعدين برا البلد ومن ورا شاشات صغيرة كلها تضليل بتحكموا وبتعملوا حالكن معارضين ..بكفي غبا✋,None
189,@proud_kfourian @waelkfoury عوينات ** 😅,None
190,@najwakaram اشتقتلّك❤,Entertainment
191,@sanfuraroro رواننتي 😘😘😘❤,None
192,@saadlamjarred1 صور حفلة مصر رووعة 💛🍯❤️ https://t.co/sTZ8LFKqLH,None
193,@AsmaAsmache تو ماتش هوا.. سأموت قهراً 😭💔,None
194,@najwakaram قلبيييي😭😭❤ https://t.co/QMdJqUPo93,None
195,ثمّ تكتشف متأخرّاً بأنك وحيد!! وحيد في كل حالاتك،،في كل الأمور المشتركة التي كنت تظن بأنك تقتسمها مع أحدهم! 😔أبيض… https://t.co/kqOUHEFrU0,None
196,خُذ دموعي خُذ ضلوعي خُذ حياتي الي انا فيها عَ شانك ❤🎶#كاظم_الساهر ❤🎶,None
197,@aymenleo10 لسا ماشفت شي,None
198,@najwakaram دقّااات قلبي مبرمجة تاخد أمر من نقلتِك 😍😭🔥 https://t.co/KmTOGe5bN9,Entertainment
199,@zaaeim @SaraAssaf اولويز بالأجنحة,None
200,ايام راحت والعُمر مشوار ما بدي يخلص هيك...بندم انا حدك ع كل نهار عشتو انا لعينيك ..🎶@waelkfoury,None
201,حليب سباع 😂😂😂 #عرق و #قاسيون و #اضواء_الشام #syria #damascus #day #funny #homs #latakia… https://t.co/W907itDYHP,None
202,شو كنت ببردك دفا .. و إلي كنت تشرين ..,None
203,صحف مصرية تسيء للمملكة وتصف #الملك_سلمان بالخائن.ألا يستوجب هذا معاقبة نظام السيسي وقطع العلاقات والدعم.@A822822A https://t.co/AOUqoK8sX6,None
204,فلافل معك اطيب من افخم مطعم مع غيرك,None
205,@najwakaram صباح الخَيّر حُبّي 😍انشالله يكون يَومِك الأَوّل من هالسنة الجديدة حَملّك فَرح و سعادة و نجَاح تملّى سنينِك الجايّة و أَكتر 🙏❤,Entertainment
206,@omar_mouki97 مرشح؟,None
207,@LeeeenNehme ليننوو ياعمري انتي اختي وقلبي 😘❤انشاالله يجي شي يوم وشوفك 😘❤😍,None
208,@9998Yousef الله يسلمك✋,Religion
209,منتخبنا يتأهل إلى الدور ربع النهائي لبطولة كأس العالم العسكرية المقامة في عمان بتصدره المجموعة الرابعة بعد فوزه على… https://t.co/wEZoT5HXPQ,None
210,مافي حَدااااااا !!!#هيدا_حكي_نجوى_كرم,None
211,ولله لحطك جوات عيوني وخلي عيني تنسى النوم🎧💞🌸,None
212,@najwakaram أحببتكِ كأنّ لم أُحبّ يوماً.. كأنّ العمر لا يمضي دونكِ.. كأنّ الحياة اسمها «أنتِ» ❤ https://t.co/TOotBG28lk,Entertainment
213,ههه😒انت خليك بمشاكل بلدك انت بعيد عن حلب وحلب بتكون بالف خيراااه نسيت خبرك ما حدا بحلب بيطيقك تركنا بحالنا😪😒 https://t.co/PYttbDQtN0,None
214,@ZerelliAmal يخليلي عيونِك يا عيوني انتي 💜,None
215,@Dishevelled18 متوفية,None
216,@najwakaram بحبّك 💘 ناطرتِك اللَيلة 🙌#نجوى_كرم_في_مجموعة_إنسان 🙏,Entertainment
217,@lamess09 مؤمنة دي تبقا اوختي انا بقيت بضيع 🔫😂,None
218,اكيد ماعندي اي شك😌😘 https://t.co/KYKeXOPqOA,None
219,عـيـونـك مـتـل حـلـب حـتـى بـالـحزن حـلـوة ❤💙,None
220,ما نحمل جزدان، من الله مفلسين 🙃,None
221,لااااااا عقدة للمانشافت لا ايطاليا ولا غيرهالسنا كغيرنا,None
222,عزيزي Syrian. 💔انا اهلي من البيت عم يخافو ينزلوني بدك انزل على المعركة واقتحام 😂كان بودي بس للاسف 😂|حاج تبعت صرعتني من امبارح لليوم|✋😒,None
223,@AjoukaTareq @MDadoush عند أوم عماد 😅,None
224,يا ريتك هون ليوم ولو خسر الريال 😢💔,None
225,@NK_Fans @najwakaram 💕ناداني و لمّا ناداني وقّفلي قلبي يوووووووه 🙊سمّاني و لما سمّاني نساني إسمي يووووووه 🙈https://t.co/DlefKjz9Cl,None
226,مش رح انسى هل حرب بكل تفاصيلا .....💔مش رح انسى كل لحظة عشت فيا 💔,None
227,بدي اشكرك ع كل شي ❤ يا كل الدنيي @kfourywael #هلق_تا_فقتي ❤ https://t.co/9LgzEy1m5w,None
228,@Elham94Bash @rose19259i1 هههههه لك صبر مو اكلة صبار او صبر ؟,None
229,@M_Nour_Farra @raghad_salkini لا هذه ولا تلك زعلت عليك,None
230,@Layal_Ph اسمه عيد كل القديسين كيف يهودي ؟,None
231,هل اسمر اللون هل أسمراني تعبان يا قلب خيوو هواك راماااني 💔يابو عيون وساع حطيت بقلبي وجاع بعطيك سبع رباع خيو من عين رسمالي ...🎶,None
232,@Akasia1992 يوه 😳😳😳 تعالي ع الخاص شوي,None
233,ليس سواك يا رب مُفرِج الكروب .. يا رب#كلنا_سعد_لمجرد https://t.co/xEzzg6VepA,None
234,مع شروق شمس هذا اليوماللهم يسر لنا كل أمرٍ عسيرفتيسير العسير عليك يسيريا من لا يحتاج إلى البيان والتفسيرحاجاتنا… https://t.co/6Xcdfi0Owz,Religion
235,كمشة اخبار,None
236,@DaadKB لتصلي بشركة الباص قليلهن في غرض وقع من الشب يلي نزل بدير عطية خدي رقمه 🤓,None
237,@FarrahYousef يا حشيشة قلبي يقبرني جمالك 😍😍 https://t.co/rJaeRp4FpR,None
238,_ععجبآ لأمر المصاري💵 _تأتي كالسلحفاء 🐢_وتذهب كالفراري🚗😂,None
239,@alsham_fadi خلصت,None
240,@Deejiin_ واناا 😢🙊 بس بعتقد مش بلبنان 🙊,None
241,@RahafAdra لا في خيارات اخرى في المجدرة وفي الفروج اللي صار ارخص من الخضار,None
